lastName,firstName,gender,birthDate,countryCode,discipline,heightCm,weightKg
Diallo,Amadou,Homme,2008-01-01,ALG,Athlétisme,160,55
Martin,Emma,Femme,2009-02-02,CPV,Aviron,161,56
Tanaka,Kenji,Homme,2010-03-03,DJI,Badminton,162,57
García,Sofia,Femme,2011-04-04,GAM,Basketball 3x3,163,58
Haddad,Omar,Homme,2008-05-05,LBA,Boxe,164,59
Smith,Olivia,Femme,2009-06-06,MOZ,Breaking,165,60
Ben Ali,Youssef,Homme,2010-07-07,SEY,Canoë-kayak,166,61
Rossi,Lucia,Femme,2011-08-08,TOG,Cyclisme,167,62
Nguyen,Noah,Homme,2008-09-09,ARU,Équitation,168,63
Okafor,Priya,Femme,2009-10-10,IVB,Escalade sportive,169,64
Traoré,Ibrahim,Homme,2010-11-11,DMA,Escrime,170,65
Dubois,Chloé,Femme,2011-12-12,HAI,Football,171,66
Wang,Chen,Homme,2008-01-13,PER,Golf,172,67
Mensah,Ama,Femme,2009-02-14,USA,Gymnastique artistique,173,68
Petrov,Andrei,Homme,2010-03-15,BHU,Haltérophilie,174,69
Kowalski,Giulia,Femme,2011-04-16,INA,Handball,175,70
Silva,Tariq,Homme,2008-05-17,KOR,Hockey sur gazon,176,71
Andersson,Astrid,Femme,2009-06-18,MGL,Judo,177,72
Kim,Pedro,Homme,2010-07-19,QAT,Karaté,178,73
Hassan,Salma,Femme,2011-08-20,TLS,Lutte,179,74
Ndiaye,Amadou,Homme,2008-09-21,AND,Natation,180,75
Fernández,Emma,Femme,2009-10-22,BUL,Pentathlon moderne,181,76
Yamamoto,Kenji,Homme,2010-11-23,FRA,Rugby à sept,182,77
Bakr,Sofia,Femme,2011-12-24,IRL,Skateboard,183,78
Johansson,Omar,Homme,2008-01-25,LUX,Taekwondo,184,79
Diallo,Olivia,Femme,2009-02-26,NOR,Tennis,185,80
Martin,Youssef,Homme,2010-03-27,SVK,Tennis de table,186,81
Tanaka,Lucia,Femme,2011-04-01,ASA,Tir,187,82
García,Noah,Homme,2008-05-02,FSM,Tir à l'arc,188,83
Haddad,Priya,Femme,2009-06-03,TGA,Triathlon,189,84
Smith,Ibrahim,Homme,2010-07-04,BUR,Voile,160,55
Ben Ali,Chloé,Femme,2011-08-05,CGO,Volleyball de plage,161,56
Rossi,Chen,Homme,2008-09-06,SWZ,Athlétisme,162,57
Nguyen,Ama,Femme,2009-10-07,KEN,Aviron,163,58
Okafor,Andrei,Homme,2010-11-08,MTN,Badminton,164,59
Traoré,Giulia,Femme,2011-12-09,RWA,Basketball 3x3,165,60
Dubois,Tariq,Homme,2008-01-10,SSD,Boxe,166,61
Wang,Astrid,Femme,2009-02-11,ZIM,Breaking,167,62
Mensah,Pedro,Homme,2010-03-12,BER,Canoë-kayak,168,63
Petrov,Salma,Femme,2011-04-13,COL,Cyclisme,169,64
