epreuveLabel,discipline,date,athleteLastName,athleteFirstName,athleteBirthDate,rank
100 m garçons,Athlétisme,2026-11-01,Diallo,Amadou,2008-01-01,1
100 m garçons,Athlétisme,2026-11-01,Martin,Lucas,2008-01-12,2
100 m garçons,Athlétisme,2026-11-01,Tanaka,Kenji,2008-01-23,3
100 m filles,Athlétisme,2026-11-02,García,Sofia,2008-02-03,1
100 m filles,Athlétisme,2026-11-02,Haddad,Fatima,2008-02-14,2
100 m filles,Athlétisme,2026-11-02,Smith,Olivia,2008-02-25,3
Saut en longueur garçons,Athlétisme,2026-11-03,Diallo,Amadou,2008-01-01,1
Saut en longueur garçons,Athlétisme,2026-11-03,Martin,Lucas,2008-01-12,2
Saut en longueur garçons,Athlétisme,2026-11-03,Tanaka,Kenji,2008-01-23,3
Saut en longueur filles,Athlétisme,2026-11-04,García,Sofia,2008-02-03,1
Saut en longueur filles,Athlétisme,2026-11-04,Haddad,Fatima,2008-02-14,2
Saut en longueur filles,Athlétisme,2026-11-04,Smith,Olivia,2008-02-25,3
50 m nage libre garçons,Natation,2026-11-03,Ben Ali,Youssef,2008-03-07,1
50 m nage libre garçons,Natation,2026-11-03,Rossi,Mateo,2008-03-18,2
50 m nage libre garçons,Natation,2026-11-03,Nguyen,Noah,2008-03-29,3
50 m nage libre filles,Natation,2026-11-04,Okafor,Priya,2008-04-09,1
50 m nage libre filles,Natation,2026-11-04,Traoré,Zineb,2008-04-20,2
50 m nage libre filles,Natation,2026-11-04,Dubois,Chloé,2008-05-01,3
100 m dos garçons,Natation,2026-11-05,Ben Ali,Youssef,2008-03-07,1
100 m dos garçons,Natation,2026-11-05,Rossi,Mateo,2008-03-18,2
100 m dos garçons,Natation,2026-11-05,Nguyen,Noah,2008-03-29,3
100 m dos filles,Natation,2026-11-06,Okafor,Priya,2008-04-09,1
100 m dos filles,Natation,2026-11-06,Traoré,Zineb,2008-04-20,2
100 m dos filles,Natation,2026-11-06,Dubois,Chloé,2008-05-01,3
200 m 4 nages garçons,Natation,2026-11-07,Ben Ali,Youssef,2008-03-07,1
200 m 4 nages garçons,Natation,2026-11-07,Rossi,Mateo,2008-03-18,2
200 m 4 nages garçons,Natation,2026-11-07,Nguyen,Noah,2008-03-29,3
200 m 4 nages filles,Natation,2026-11-08,Okafor,Priya,2008-04-09,1
200 m 4 nages filles,Natation,2026-11-08,Traoré,Zineb,2008-04-20,2
200 m 4 nages filles,Natation,2026-11-08,Dubois,Chloé,2008-05-01,3
-60 kg garçons,Judo,2026-11-06,Wang,Chen,2008-05-12,1
-60 kg garçons,Judo,2026-11-06,Mensah,Kofi,2008-05-23,2
-60 kg garçons,Judo,2026-11-06,Petrov,Andrei,2008-06-03,3
-60 kg filles,Judo,2026-11-07,Kowalski,Giulia,2008-06-14,1
-60 kg filles,Judo,2026-11-07,Silva,Layla,2008-06-25,2
-60 kg filles,Judo,2026-11-07,Andersson,Astrid,2008-07-06,3
-48 kg garçons,Judo,2026-11-08,Wang,Chen,2008-05-12,1
-48 kg garçons,Judo,2026-11-08,Mensah,Kofi,2008-05-23,2
-48 kg garçons,Judo,2026-11-08,Petrov,Andrei,2008-06-03,3
-48 kg filles,Judo,2026-11-09,Kowalski,Giulia,2008-06-14,1
-48 kg filles,Judo,2026-11-09,Silva,Layla,2008-06-25,2
-48 kg filles,Judo,2026-11-09,Andersson,Astrid,2008-07-06,3
